Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Pan Laican,4.2,China,soy sauce,680,,"foshan, China",China,,,,True
Juan Roig,4.2,Spain,supermarkets,680,71,"Valencia, Spain",Spain,Married,4,,False
Leonard Stern,4.2,United States,real estate,680,83,"New York, New York",United States,Married,3,"Master of Business Administration, Leonard N. Stern School of Business; Bachelor of Arts/Science, New York University",False
Thomas Straumann,4.2,Switzerland,dental implants,680,57,"Basel, Switzerland",Switzerland,,,,False
Wang Yanqing & family,4.2,China,electrical equipment,680,55,"Wuxi, China",China,Married,,,True
Ken Xie,4.2,United States,cybersecurity,680,58,"Los Altos Hills, California",United States,Married,,"Master of Science, Stanford University; Bachelor of Science, Tsinghua University; Master of Science, Tsinghua University",True
Xue Hua,4.2,China,agribusiness,680,,"Guangzhou, China",China,,,"Bachelor of Arts/Science, Huazhong Agricultural University",True
Steven Meng Yang & family,4.2,China,electronics,680,39,"Changsha, China",China,Married,,"Bachelor of Arts/Science, Peking University; Masters of Science in Technology, The University of Texas, Austin",True
Margot Birmingham Perot,4.1,United States,"computer services, real estate",705,87,"Dallas, Texas",United States,Widowed,5,"Bachelor of Arts/Science, Goucher College",False
David Bonderman,4.1,United States,private equity,705,78,"Fort Worth, Texas",United States,Married,5,"Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Washington",True
Matthew Calkins,4.1,United States,software,705,48,"Rosslyn, Virginia",United States,Divorced,2,"Bachelor of Arts/Economics, Dartmouth College",True
Cho Tak Wong,4.1,Hong Kong,auto parts,705,74,"Fuqing, China",Hong Kong,Married,3,,True
Piero Ferrari,4.1,Italy,automobiles,705,75,"Modena, Italy",Italy,Divorced,1,,False
Dan Friedkin,4.1,United States,Toyota dealerships,705,56,"Houston, Texas",United States,Married,4,"Bachelor of Arts/Science, Georgetown University; Master of Business Administration, Rice University",False
Laurence Graff & family,4.1,United Kingdom,diamond jewelry,705,82,"Gstaad, Switzerland",United Kingdom,Divorced,5,,True
Martin Haefner,4.1,Switzerland,"software, investments",705,67,"Zurich, Switzerland",Switzerland,Married,,,False
Hong Ra-hee,4.1,South Korea,Samsung,705,75,"Seoul, South Korea",South Korea,Widowed,3,"Bachelor of Arts/Science, Seoul National University",False
Ji Qi,4.1,China,"hotels, motels",705,54,"Shanghai, China",China,,,,True
"Rupert Johnson, Jr.",4.1,United States,money management,705,80,"Burlingame, California",United States,Married,,"Bachelor of Arts/Science, Washington & Lee University",False
Daniel Kretinsky,4.1,Czechia,"energy, investments",705,45,"Prague, Czechia",Czechia,In Relationship,1,"Law Degree, Masaryk University",True
William Lauder,4.1,United States,Estee Lauder,705,61,"New York, New York",United States,Divorced,,,False
Janice McNair,4.1,United States,"energy, sports",705,84,"Houston, Texas",United States,Widowed,4,"Bachelor of Arts/Science, Columbia College",False
John Morris,4.1,United States,sporting goods retail,705,73,"Springfield, Missouri",United States,Married,4,"Bachelor of Arts/Science, Drury University",True
Gabe Newell,4.1,United States,videogames,705,58,"Seattle, Washington",United States,Divorced,2,"Drop Out, Harvard University",True
Katharina Otto-Bernstein,4.1,Germany,real estate,705,57,"New York, New York",Germany,Married,2,,False
Julio Ponce Lerou,4.1,Chile,fertilizer,705,75,"Santiago, Chile",Chile,Divorced,1,,True
Jon Stryker,4.1,United States,medical equipment,705,63,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, Kalamazoo College; Master of Architecture, University of California, Berkeley",False
Suh Kyung-bae,4.1,South Korea,cosmetics,705,58,"Seoul, South Korea",South Korea,Married,2,"Master of Business Administration, Samuel Curtis Johnson Graduate School of Management; Bachelor of Arts/Science, Yonsei University",False
Xu Jingren,4.1,China,pharmaceuticals,705,76,"Taizhou, China",China,Married,2,,True
Samuel Yin,4.1,Taiwan,retail,705,70,"Taipei, Taiwan",Taiwan,Married,2,"Bachelor of Arts/Science, Chinese Culture University; Ph.D, National Chengchi University; Master of Business Administration, National Taiwan University",False
Walter P.J. Droege,4.0,Germany,investing,727,68,"Dusseldorf, Germany",Germany,Married,,,True
Du Jiangtao & family,4.0,China,chemicals,727,51,"Beijing, China",China,Married,,"Master of Arts, Beijing Institute of Technology",True
Vinod & Anil Rai Gupta,4.0,India,electrical equipment,727,,"Delhi, India",India,,,,False
Masatoshi Ito,4.0,Japan,retail,727,97,"Tokyo, Japan",Japan,Married,3,,True
Igor Kesaev,4.0,Russia,"tobacco distribution, retail",727,54,"Moscow, Russia",Russia,Married,3,"Bachelor of Arts/Science, Moscow Institute of International Relations",True
Koon Poh Keong,4.0,Malaysia,aluminum,727,60,"Petaling Jaya, Malaysia",Malaysia,Married,,"Bachelor of Engineering, University of Oklahoma",True
Paul Xiaoming Lee & family,4.0,United States,packaging,727,63,"Yuxi, China",United States,Married,,"Master of Science, University of Massachusetts",True
Li Xiang,4.0,China,electric vehicles,727,39,"Beijing, China",China,,,,True
Melissa Ma,4.0,China,internet search,727,,"Beijing, China",China,Married,,,True
Kiran Mazumdar-Shaw,4.0,India,biopharmaceuticals,727,68,"Bangalore, India",India,Married,,"Bachelor of Arts/Science, Bangalore University; Master of Science, Melbourne University",True
Gwendolyn Sontheim Meyer,4.0,United States,Cargill,727,59,"Rancho Santa Fe, California",United States,Divorced,2,,False
Akira Mori & family,4.0,Japan,real estate,727,84,"Tokyo, Japan",Japan,Married,3,,False
Georg Nemetschek & family,4.0,Germany,software,727,87,"Munich, Germany",Germany,Widowed,2,,True
Masahiro Noda,4.0,Japan,software,727,82,"Tokyo, Japan",Japan,Married,,"Bachelor of Arts/Economics, Kansai University",True
Ajay Piramal,4.0,India,pharmaceuticals,727,65,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Bombay University; Master of Business Administration, Bombay University",False
Qiu Guanghe & family,4.0,China,fashion retail,727,69,"Wenzhou, China",China,Married,2,,True
Trevor Rees-Jones,4.0,United States,oil & gas,727,69,"Dallas, Texas",United States,Married,2,"Bachelor of Arts/Science, Dartmouth College; Doctor of Jurisprudence, Southern Methodist University",True
Ira Rennert,4.0,United States,investments,727,86,"New York, New York",United States,Married,3,"Bachelor of Arts/Science, Brooklyn College; Master of Business Administration, Leonard N. Stern School of Business",True
Marc Rowan,4.0,United States,private equity,727,58,"New York, New York",United States,Married,,"Bachelor of Arts/Science, University of Pennsylvania; Master of Business Administration, University of Pennsylvania, The Wharton School",True
Ugur Sahin,4.0,Germany,biotechnology,727,55,"Mainz, Germany",Germany,Married,,,True
Michal Solowow,4.0,Poland,investments,727,58,"Kielce, Poland",Poland,Married,3,,True
Udo & Harald Tschira,4.0,Germany,software,727,,Germany,Germany,,,,False
Wu Jianshu,4.0,Hong Kong,auto parts,727,57,"Ningbo, China",Hong Kong,,,,True
Ye Xiaoping,4.0,China,pharmaceuticals,727,58,"Hangzhou, China",China,,,"Ph.D, Oxford University",True
Zhou Hongyi,4.0,China,security software,727,50,"Beijing, China",China,Married,,"Master of Science, Xi'an Jiaotong University",True
Che Jianxing,3.9,China,furniture retailing,752,54,"Shanghai, China",China,Married,,,True
Beatriz Davila de Santo Domingo,3.9,Colombia,beer,752,82,Bermuda,Colombia,Widowed,2,,False
Rafael Del Pino,3.9,Spain,construction,752,62,"Madrid, Spain",Spain,Divorced,6,"Master of Business Administration, MIT Sloan School of Management; Bachelor of Arts/Science, Universidad  Politecnica de Madrid",False
Du Weimin,3.9,China,vaccines,752,57,"Shenzhen, China",China,Married,,"Master of Business Administration, Jinan University",True
Rakesh Gangwal,3.9,United States,airline,752,67,"Miami, Florida",United States,Married,1,"Bachelor of Science in Engineering, Indian Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School",True
Paul Gauselmann & family,3.9,Germany,gambling,752,86,"Espelkamp, Germany",Germany,Married,4,,True
Jeff Greene,3.9,United States,"real estate, investments",752,66,"Palm Beach, Florida",United States,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Johns Hopkins University",True
Johnelle Hunt,3.9,United States,trucking,752,89,"Fayetteville, Arkansas",United States,Widowed,2,"Drop Out, University of Central Arkansas",True
Jin Baofang,3.9,China,solar energy,752,68,"Xingtai, China",China,Married,,"Associate in Arts/Science, Hebei Broadcast and Television University",True
Kuan Kam Hon & family,3.9,Malaysia,synthetic gloves,752,73,"Kuala Lumpur, Malaysia",Malaysia,Married,3,,True
"Stephen Mandel, Jr.",3.9,United States,hedge funds,752,65,"Greenwich, Connecticut",United States,Married,3,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Harvard University; Diploma, Phillips Academy Exeter",True
Gilles Martin,3.9,France,laboratory services,752,57,"Nantes, France",France,Married,,"Bachelor of Arts/Science, Ecole centrale de Paris; Master, Syracuse University; Ph.D, Syracuse University",True
Masahiro Miki,3.9,Japan,shoes,752,65,"Tokyo, Japan",Japan,Married,,"Bachelor of Arts/Science, Toho Gakuen tanki University",True
Dan Olsson,3.9,Sweden,diversified,752,74,"Gothenburg, Sweden",Sweden,Married,,,False
Robert Rowling,3.9,United States,"hotels, investments",752,67,"Dallas, Texas",United States,Married,2,"Doctor of Jurisprudence, Southern Methodist University; Bachelor of Arts/Science, The University of Texas at Austin",False
Erik Selin,3.9,Sweden,real estate,752,53,"Göteborg, Sweden",Sweden,Divorced,,,True
Mark Shoen,3.9,United States,U-Haul,752,70,"Phoenix, Arizona",United States,Married,1,,False
Ben Silbermann,3.9,United States,Pinterest,752,38,"San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, Yale University",True
Maximilian Viessmann,3.9,Germany,heating and cooling equipment,752,,,Germany,,,,False
Wang Linpeng,3.9,China,furniture retailing,752,53,"Beijing, China",China,,,,True
Wu Zhigang & family,3.9,China,bakery chain,752,86,"Shenyang, China",China,Married,3,,True
Yi Zheng,3.9,China,software,752,50,"Hangzhou, China",China,,,"Bachelor of Arts/Science, Zhejiang University",True
Zhang Wenzhong,3.9,China,supermarkets,752,59,"Beijing, China",China,,,,True
Euisun Chung,3.8,South Korea,Hyundai,775,50,"Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Science, Korea University; Master of Business Administration, University of San Francisco",False
Daniel D'Aniello,3.8,United States,private equity,775,74,"Vienna, Virginia",United States,Married,2,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Syracuse University",True
Oleg Deripaska,3.8,Russia,"aluminum, utilities",775,53,"Moscow, Russia",Russia,Divorced,2,"Bachelor of Arts/Science, Moscow State University",True
Sergey Dmitriev,3.8,Russia,computer software,775,55,"Prague, Czechia",Russia,,,"Master of Science, Saint Petersburg State University",True
Feng Hailiang,3.8,China,"copper, education",775,60,"Zhuji, China",China,Married,2,"Master of Business Administration, Zhejiang University",True
John Gandel,3.8,Australia,shopping malls,775,86,"Melbourne, Australia",Australia,Married,4,"Doctorate, Monash University",False
Gao Dekang & family,3.8,China,apparel,775,69,"Changshu, China",China,Married,3,"EMBA, Phoenix International University",True
Jaime Gilinski Bacal,3.8,Colombia,banking,775,63,"London, United Kingdom",Colombia,Married,4,"Master of Business Administration, Harvard Business School",False
Sergei Gordeev,3.8,Russia,real estate,775,48,"Moscow, Russia",Russia,Single,,"Bachelor of Arts/Science, Togliatti Academy of Management",True
Jeff Green,3.8,United States,online advertising,775,44,"Newbury Park, California",United States,,,,True
"Amos Hostetter, Jr.",3.8,United States,cable television,775,84,"Boston, Massachusetts",United States,Married,3,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard University",True
Kuok Khoon Hong,3.8,Singapore,palm oil,775,71,"Singapore, Singapore",Singapore,Married,4,,False
Lai Jianping,3.8,China,soy sauce,775,,"Foshan, China",China,,,,True
Aerin Lauder,3.8,United States,cosmetics,775,51,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, University of Pennsylvania",False
Hans Georg Naeder,3.8,Germany,prosthetics,775,59,"Duderstadt, Germany",Germany,Divorced,2,,False
Maren Otto,3.8,Germany,"retail, real estate",775,,"Berlin, Germany",Germany,Widowed,,,False
Clive Palmer,3.8,Australia,mining,775,67,"Brisbane, Australia",Australia,Married,3,,True
Karsanbhai Patel,3.8,India,consumer goods,775,77,"Ahmedabad, India",India,Married,3,,True
Qiu Jianping & family,3.8,China,hand tools,775,59,"Hangzhou, China",China,Married,,"Master of Science, Xi'an Jiaotong University",True
Wolfgang Reimann,3.8,Germany,consumer goods,775,68,"Passau, Germany",Germany,,,,False
Matthias Reimann-Andersen,3.8,Germany,consumer goods,775,56,"Munich, Germany",Germany,,,,False
Stefan Reimann-Andersen,3.8,Germany,consumer goods,775,57,"Vienna, Austria",Germany,,,,False
Renate Reimann-Haas,3.8,Germany,consumer goods,775,69,"Vienna, Austria",Germany,,,,False
Dirk Rossmann & family,3.8,Germany,drugstores,775,74,"Lower-Saxony, Germany",Germany,Married,2,,True
Shaul Shani,3.8,Israel,telecom,775,66,Italy,Israel,,,,True
Song Fei,3.8,China,machinery,775,54,"Yantai, China",China,Married,,,True
Donald Sterling,3.8,United States,real estate,775,87,"Beverly Hills, California",United States,Married,3,"Bachelor of Arts/Science, California State Los Angeles; Doctor of Jurisprudence, Southwestern Law School",True
Ivar Tollefsen,3.8,Norway,real estate,775,59,"Oslo, Norway",Norway,,,,True
Don Vultaggio & family,3.8,United States,beverages,775,69,"Port Washington, New York",United States,Married,2,"High School Graduate, High School",True
Nusli Wadia,3.8,India,consumer goods,775,77,"Mumbai, India",India,Married,2,,False
Zhang Jin,3.8,China,commodities,775,49,"Guangzhou, China",China,,,"Master of Arts, Hong Kong Polytechnic University; EMBA, Peking University",True
Zhu Gongshan,3.8,China,solar panel materials,775,63,"Shanghai, China",China,Married,2,,True
Peter Gilgan,3.7,Canada,homebuilding,807,70,"Oakville, Canada",Canada,Married,8,,True
Marian Ilitch,3.7,United States,Little Caesars,807,88,"Bingham Farms, Michigan",United States,Widowed,7,"Diploma, High School; High School Graduate, High School",True
Kong Jian Min,3.7,China,real estate,807,53,"Guangzhou, China",China,,,"Bachelor of Arts/Science, Jinan University",True
Li Liangbin,3.7,China,lithium,807,53,"Xinyu, China",China,,,,True
Li Yongxin & family,3.7,China,education,807,45,"Beijing, China",China,Married,,"Bachelor of Arts/Science, Peking University",True
Mary Alice Dorrance Malone,3.7,United States,Campbell Soup,807,71,"Coatesville, Pennsylvania",United States,Divorced,2,"Bachelor of Arts/Science, University of Arizona",False
Michael Milken,3.7,United States,investments,807,74,"Los Angeles, California",United States,Married,3,"Bachelor of Arts/Science, University of California, Berkeley; Master of Business Administration, University of Pennsylvania, The Wharton School",True
Ronald Perelman,3.7,United States,leveraged buyouts,807,78,"New York, New York",United States,Married,8,"Bachelor of Arts/Science, University of Pennsylvania; Master of Business Administration, University of Pennsylvania, The Wharton School",True
Candido Pinheiro Koren de Lima,3.7,Brazil,"hospitals, health insurance",807,74,"Fortaleza, Brazil",Brazil,Married,2,,True
J. Joe Ricketts & family,3.7,United States,TD Ameritrade,807,79,"Little Jackson Hole, Wyoming",United States,Married,4,"Bachelor of Arts/Science, Creighton University",True
Paolo & Gianfelice Mario Rocca,3.7,Italy,pipe manufacturing,807,,"Buenos Aires, Argentina",Italy,,,"Certificate, Harvard Business School",False
Jeff Rothschild,3.7,United States,Facebook,807,66,"Palo Alto, California",United States,Married,3,"Bachelor of Arts/Science, Vanderbilt University; Master of Science, Vanderbilt University",True
David Rubenstein,3.7,United States,private equity,807,71,"Bethesda, Maryland",United States,Divorced,3,"Bachelor of Arts/Science, Duke University; Doctor of Jurisprudence, University of Chicago",True
Maria-Elisabeth Schaeffler-Thumann,3.7,Germany,auto parts,807,79,"Herzogenaurach, Germany",Germany,Married,,,False
Steven Spielberg,3.7,United States,movies,807,74,"Pacific Palisades, California",United States,Married,7,"Bachelor of Arts/Science, California State Long Beach",True
Barry Sternlicht,3.7,United States,private equity,807,60,"Miami, Florida",United States,Married,3,"Bachelor of Arts/Science, Brown University",True
Mark Stevens,3.7,United States,venture capital,807,61,"Steamboat Springs, Colorado",United States,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Southern California; Master of Science, University of Southern California",True
David Steward,3.7,United States,IT provider,807,69,"St. Louis, Missouri",United States,Married,,"Bachelor of Arts/Science, Central Missouri State University",True
Vincent Viola,3.7,United States,electronic trading,807,65,"New York, New York",United States,Married,3,"Doctor of Jurisprudence, New York Law School; Bachelor of Arts/Science, United States Military Academy",True
Todd Wanek,3.7,United States,furniture,807,57,"St. Petersburg, Florida",United States,Married,2,,False
Wang Roger,3.7,United States,retail,807,72,"Nanjing, China",United States,Married,2,"Bachelor of Arts/Science, Chinese Culture University; Master of Business Administration, Southeastern Louisiana University",True
Russ Weiner,3.7,United States,energy drinks,807,51,"Delray Beach, Florida",United States,Single,,"Bachelor of Arts/Science, San Diego State University",True
Herbert Wertheim,3.7,United States,investments,807,81,"Coral Gables, Florida",United States,Married,,"Associate in Arts/Science, Brevard Community College; Doctorate, Southern College of Optometry",True
Xu Shugen,3.7,China,"construction, mining machinery",807,55,"Hangzhou, China",China,,,,True
Anil Agarwal & family,3.6,India,"mining, metals",831,67,"London, United Kingdom",India,Married,2,,True
Majid Al Futtaim & family,3.6,United Arab Emirates,"real estate, retail",831,,"Dubai, United Arab Emirates",United Arab Emirates,Married,,,False
Leonid Boguslavsky,3.6,Russia,venture capital,831,69,"Moscow, Russia",Russia,Married,4,"Master of Science, Moscow Institute for Transport Engineering",True
"Austen Cargill, II.",3.6,United States,Cargill,831,70,"Livingston, Montana",United States,Divorced,2,"Doctorate, Oregon State University; Bachelor of Arts/Science, University of Minnesota; Master of Science, University of Minnesota",False
"James Cargill, II.",3.6,United States,Cargill,831,72,"Birchwood, Wisconsin",United States,Married,2,,False
Chu Lam Yiu,3.6,Hong Kong,flavorings,831,51,"Hong Kong, Hong Kong",Hong Kong,Married,,,True
Steve Conine,3.6,United States,online retail,831,48,"Boston, Massachusetts",United States,Married,3,"Bachelor of Science in Engineering, Cornell University",True
Hu Kaijun,3.6,China,pharmaceuticals,831,59,"Beijing, China",China,,,,True
S. Curtis Johnson,3.6,United States,cleaning products,831,66,"Racine, Wisconsin",United States,Married,4,"Bachelor of Arts/Science, Cornell University; Master of Business Administration, Kellogg School of Management",False
Helen Johnson-Leipold,3.6,United States,cleaning products,831,64,"Racine, Wisconsin",United States,Married,5,"Bachelor of Arts/Science, Cornell University",False
Daryl Katz,3.6,Canada,pharmacies,831,59,"Edmonton, Canada",Canada,Married,2,"Bachelor of Arts/Science, University of Alberta; Doctor of Jurisprudence, University of Alberta",True
Peter Kellogg,3.6,United States,investments,831,78,"Short Hills, New Jersey",United States,Married,3,"Bachelor of Arts/Science, Babson College",False
Samuel Tak Lee,3.6,Hong Kong,real estate,831,82,"Hong Kong, Hong Kong",Hong Kong,Married,7,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Massachusetts Institute of Technology",False
Li Hongxin & family,3.6,China,paper & related products,831,68,"Yanzhou, China",China,Married,3,,True
Marianne Liebmann,3.6,United States,Cargill,831,67,"Bozeman, Montana",United States,Married,2,"Bachelor of Arts/Science, Montana State University",False
Winifred J. Marquart,3.6,United States,cleaning products,831,62,"Virginia Beach, Virginia",United States,Married,4,"Drop Out, Cornell University",False
Daniel Och,3.6,United States,hedge funds,831,60,"Miami Beach, Florida",United States,Married,3,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",True
Anthony Pritzker,3.6,United States,"hotels, investments",831,60,"Los Angeles, California",United States,Married,6,"Bachelor of Arts/Science, Dartmouth College",False
Rodger Riney & family,3.6,United States,discount brokerage,831,75,"St. Louis, Missouri",United States,Married,3,"Bachelor of Arts/Science, University of Missouri; Master of Business Administration, University of Missouri",True
Niraj Shah,3.6,United States,online retail,831,47,"Boston, Massachusetts",United States,Married,2,"Bachelor of Science in Engineering, Cornell University",True
Lynsi Snyder,3.6,United States,In-N-Out Burger,831,39,"Glendora, California",United States,Married,,,False
Jerzy Starak,3.6,Poland,pharmaceuticals,831,73,"Konstancin, Poland",Poland,Married,3,,True
Michael Tojner,3.6,Austria,"batteries, investments",831,55,"Vienna, Austria",Austria,,,"Master of Business Administration, University of Vienna; Master of Laws, University of Vienna",True
Richard Tsai,3.6,Taiwan,finance,831,63,"Taipei, Taiwan",Taiwan,Married,2,"Master of Business Administration, Leonard N. Stern School of Business; Graduate, National Taiwan University",False
Ty Warner,3.6,United States,"real estate, plush toys",831,76,"Oak Brook, Illinois",United States,Single,,"Drop Out, Kalamazoo College",True
Yang Shaopeng,3.6,China,shipping,831,63,"Qingdao, China",China,,,,True
Yuan Liping,3.6,Canada,pharmaceuticals,831,50,"Shenzhen, China",Canada,Divorced,,,False
Zhang Hongwei,3.6,China,"oil, banking",831,66,"Beijing, China",China,Married,3,"Bachelor of Arts/Science, Harbin Engineering University; Master of Science, Harbin Institute of Technology",True
Andrej Babis,3.5,Czechia,agriculture,859,66,"Prague, Czechia",Czechia,Married,4,"Master, University of Economics in Bratislava (UEB)",True
Shyam & Hari Bhartia,3.5,India,diversified,859,68,"Delhi, India",India,Married,2,,False
Hubert Burda,3.5,Germany,publishing,859,81,"Munich, Germany",Germany,Married,2,"Bachelor of Arts/Science, Ludwig Maxmilian University",False
Chuchat Petaumpai & Daonapa Petampai,3.5,Thailand,motorcycle loans,859,67,"Bangkok, Thailand",Thailand,Married,2,"Bachelor of Arts/Economics, Oklahoma State University",True
Charles Cohen,3.5,United States,real estate,859,69,"New York, New York",United States,Married,4,"Doctor of Jurisprudence, Brooklyn Law School; Bachelor of Arts/Science, Tufts University",False
David Filo,3.5,United States,Yahoo,859,55,"Palo Alto, California",United States,Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, Tulane University",True
Sergei Galitsky,3.5,Russia,retail,859,53,"Krasnodar, Russia",Russia,Married,1,"Bachelor of Arts/Science, Kuban State University",True
Alessandra Garavoglia,3.5,Italy,spirits,859,61,"Milan, Italy",Italy,,,"Bachelor of Social Sciences, University of Milan",False
Franco Bittar Garcia,3.5,Brazil,retailing,859,37,"Franca, Brazil",Brazil,Single,,,False
Martha Ingram & family,3.5,United States,"book distribution, transportation",859,85,"Nashville, Tennessee",United States,Widowed,4,"Bachelor of Arts/Science, Vassar College",False
H. Fisk Johnson,3.5,United States,cleaning products,859,62,"Racine, Wisconsin",United States,Divorced,1,"Bachelor of Arts/Science, Cornell University; Doctorate, Cornell University; Master of Science, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management",False
Li Guoqiang,3.5,China,auto dealerships,859,57,"Beijing, China",China,Married,,,True
Lim Wee Chai,3.5,Malaysia,rubber gloves,859,63,"Kuala Lumpur, Malaysia",Malaysia,Married,2,"Master of Business Administration, Sul Ross State University; Bachelor of Arts/Science, University of Malaya",True
Liu Xiaodong,3.5,China,flavorings,859,53,"Shanghai, China",China,,,,True
Daniel Loeb,3.5,United States,hedge funds,859,59,"New York, New York",United States,Married,,"Bachelor of Arts/Science, Columbia University",True
Jim McKelvey,3.5,United States,mobile payments,859,55,"St. Louis, Missouri",United States,,,"Bachelor of Arts/Economics, Washington University in St. Louis; Bachelor of Science, Washington University in St. Louis",True
Apoorva Mehta,3.5,Canada,grocery delivery service,859,34,"San Francisco, California",Canada,Single,,"Bachelor of Arts/Science, University of Waterloo",True
N.R. Narayana Murthy,3.5,India,software services,859,74,"Bangalore, India",India,Married,2,"Master of Science, Indian Institute of Technology",True
John Paulson,3.5,United States,hedge funds,859,65,"New York, New York",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, New York University",True
J.B. Pritzker,3.5,United States,"hotels, investments",859,56,"Springfield, Illinois",United States,Married,2,"Bachelor of Arts/Science, Duke University; Doctor of Jurisprudence, Northwestern University",False
Michael Rubin,3.5,United States,online retail,859,48,"Bryn Mawr, Pennsylvania",United States,Divorced,1,"Drop Out, Villanova University",True
Arnout Schuijff,3.5,Netherlands,payments software,859,53,"Amsterdam, Netherlands",Netherlands,Married,,,True
Thomas Secunda,3.5,United States,Bloomberg LP,859,66,"Croton-on-Hudson, New York",United States,Married,2,"Bachelor of Arts/Science, SUNY Binghamton",True
Vivek Chaand Sehgal,3.5,Australia,auto parts,859,64,"Delhi, India",Australia,Married,2,"Bachelor of Arts/Science, Delhi University",True
E. Joe Shoen,3.5,United States,U-Haul,859,71,"Phoenix, Arizona",United States,Married,,"Master of Business Administration, Harvard Business School",False
Leena Tewari,3.5,India,pharmaceuticals,859,63,"Mumbai, India",India,Married,2,"B.Com, Bombay University; Master of Business Administration, Boston University",False
Julia Thiele-Schuerhoff,3.5,Germany,brakes,859,,,Germany,,,,False
Romesh T. Wadhwani,3.5,United States,software,859,73,"Palo Alto, California",United States,Married,1,"Doctorate, Carnegie Mellon University; Master of Science, Carnegie Mellon University; Bachelor of Arts/Science, Indian Institute of Technology, Bombay",True
Wu Shaoxun,3.5,China,wine,859,65,"Daye, China",China,,,,True
Ye Guofu,3.5,China,retail,859,43,"Guangzhou, China",China,,,,True
Denise York & family,3.5,United States,San Francisco 49ers,859,70,"Youngstown, Ohio",United States,Married,4,,False
Zhou Jianping,3.5,China,fashion retail,859,60,"Jiangyin, China",China,Married,,,True
Mohed Altrad,3.4,France,"scaffolding, cement mixers",891,73,"Montpellier, France",France,In Relationship,5,,True
Gayle Benson,3.4,United States,pro sports teams,891,74,"New Orleans, Louisiana",United States,Widowed,,,False
Francesco Gaetano Caltagirone,3.4,Italy,"cement, diversified",891,78,"Rome, Italy",Italy,Married,3,,True
"William Conway, Jr.",3.4,United States,private equity,891,71,"McLean, Virginia",United States,Married,1,"Bachelor of Arts/Science, Dartmouth College",True
Jim Davis,3.4,United States,staffing & recruiting,891,77,"Newton, Massachusetts",United States,Married,2,"Bachelor of Arts/Science, Middlebury College",True
Deng Wen,3.4,China,flavorings,891,53,"Chengdu, China",China,Married,,,True
Ennio Doris & family,3.4,Italy,financial services,891,80,"Tombolo, Italy",Italy,Married,2,"Diploma, High School",True
Bernard Ecclestone & family,3.4,United Kingdom,Formula One,891,90,"London, United Kingdom",United Kingdom,Married,2,,True
Alexander Frolov,3.4,Russia,"mining, steel",891,56,"Moscow, Russia",Russia,Married,1,"Doctorate, Moscow Institute of Physics and Technology",True
Fiona Geminder,3.4,Australia,manufacturing,891,56,"Melbourne, Australia",Australia,Married,4,"Bachelor of Arts/Science, Monash University; LLB, Monash University",False
Zarakh Iliev,3.4,Russia,real estate,891,54,"Moscow, Russia",Russia,Married,2,,True
Viktor Kharitonin,3.4,Russia,pharmaceuticals,891,48,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Novosibirsk State University",True
Steven Klinsky,3.4,United States,investments,891,64,"New York, New York",United States,,,"Master of Business Administration, Harvard Business School; Doctor of Jurisprudence, Harvard Law School; Bachelor of Arts/Economics, University of Michigan, Ann Arbor",True
Chris Larsen,3.4,United States,cryptocurrency,891,60,"San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, San Francisco State University; Master of Business Administration, Stanford Graduate School of Business",True
Angela Leong,3.4,Hong Kong,casinos,891,60,"Hong Kong, Hong Kong",Hong Kong,Widowed,5,"Diploma, High School",False
Margarita Louis-Dreyfus & family,3.4,Switzerland,commodities,891,58,"Davos, Switzerland",Switzerland,Widowed,3,,False
John Middleton,3.4,United States,tobacco,891,66,"Bryn Mawr, Pennsylvania",United States,Married,2,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard University",False
Arnon Milchan,3.4,Israel,movie making,891,76,"Tel Aviv, Israel",Israel,Married,4,,True
Arturo Moreno,3.4,United States,"billboards, Anaheim Angels",891,74,"Phoenix, Arizona",United States,Married,3,"Bachelor of Arts/Science, University of Arizona",True
God Nisanov,3.4,Russia,real estate,891,49,"Moscow, Russia",Russia,Married,3,"Diploma, Baku Institute of Law",True
